United Kindgom,Confirmed,Deaths,Recovered
189,303063,41254,1438
190,303910,41254,1438
191,304793,41274,1439
192,305562,41287,1441
193,306309,41292,1444
194,307251,41293,1445
195,307926,41311,1445
196,308832,41325,1446
197,309796,41343,1447
198,310696,41355,1447
199,311461,41358,1449
200,312574,41363,1451
201,313392,41381,1463
202,314542,41394,1464
203,315581,41414,1472
204,316729,41432,1479
205,318190,41443,1481
206,319232,41446,1486
207,320343,41451,1486
208,321064,41454,1490
209,322177,41466,1493
210,323008,41483,1495
211,324203,41489,1544
212,325263,41491,1544
213,326595,41509,1547
214,327643,41515,1547
215,328620,41519,1550
216,329821,41535,1551
217,330967,41552,1551
218,332509,41564,1564
219,333806,41573,1615
220,334916,41585,1622
221,336668,41586,1624
222,338083,41589,1682
223,339415,41592,1709
224,340929,41602,1742
225,342708,41616,1750
226,344686,41626,1756
227,346513,41638,1806
228,349500,41640,1824
229,352451,41643,1824
230,354932,41675,1827
231,357613,41683,1831
232,360544,41697,1845
233,364088,41703,1848
234,367592,41712,1880
235,370930,41717,2146
236,373555,41726,2152
237,376670,41753,2184
238,380677,41773,2190
239,384087,41794,2201
240,388416,41821,2213
241,392845,41848,2227
242,396744,41866,2228
243,401122,41877,2228
244,406058,41914,2238
245,412245,41951,2247
246,418889,41991,2282
247,425767,42025,2303
248,431817,42060,2333
249,437517,42077,2339
250,441573,42090,2352
251,448729,42162,2368
252,455846,42233,2373
253,462775,42292,2383
254,469769,42358,2389
255,482654,42407,2396
256,505619,42440,2403
257,518222,42459,2409
258,532779,42535,2417
259,546952,42605,2425
260,564502,42682,2474
261,578390,42769,2488
262,593565,42850,2495
263,606447,42915,2503
264,620458,42965,2511
265,637708,43108,2535
266,657459,43245,2551
267,676455,43383,2561
268,692112,43519,2565
269,708298,43669,2572
270,725292,43736,2589
271,744122,43816,2613
272,765487,44057,2626
273,792194,44248,2636
274,813451,44437,2652
275,834010,44661,2657
276,857043,44835,2676
277,876840,44986,2685
278,897740,45088,2702
279,920664,45455,2719
280,945378,45765,2773
281,968456,46045,2799
282,992874,46319,2811
283,1014793,46645,2839
284,1038054,46807,2841
285,1057021,46943,2850
286,1077099,47340,2906
287,1102305,47832,2925
288,1126469,48210,2931
289,1149791,48565,2951
290,1174770,48978,2965
291,1195350,49134,2983
292,1216747,49329,2998
293,1237198,49861,3008
294,1260198,50457,3018
295,1293715,51020,3031
296,1321031,51396,3089
297,1347907,51858,3108
298,1372884,52026,3121
299,1394299,52240,3135
300,1414359,52839,3148
301,1434004,53368,3206
302,1456940,53870,3242
303,1477214,54381,3260
304,1497135,54721,3310
305,1515802,55120,3322
306,1531267,55327,3333
307,1542611,55935,3405
308,1560872,56630,3445
309,1578429,57128,3454
310,1593250,57648,3462
311,1609141,58127,3500
312,1621305,58342,3514
313,1633733,58545,3570
314,1647230,59148,3589
315,1663467,59796,3602
316,1678418,60210,3623
317,1694800,60714,3637
318,1710379,61111,3650
319,1727751,61342,3736
320,1742525,61531,3747
321,1754911,62130,3765
322,1771545,62663,3778
323,1792611,63179,3787
324,1814395,63603,3799
325,1835949,64123,3805
326,1854490,64267,4013
327,1874867,64500,4048
328,1893436,65006,4093
329,1918736,65618,4106
330,1954268,66150,4123
331,1982828,66640,4264
332,2010077,67177,4354
333,2046161,67503,4375
334,2079678,67718,4386
335,2116609,68409,4409
336,2155996,69157,4723
337,2195144,69732,4821
338,2227947,70302,4822
339,2262735,70513,4910
340,2295228,70860,5093
341,2336688,71217,5102
342,2389963,71675,5294
343,2440202,72657,5414
344,2496231,73622,5479
345,2549689,74237,5679
346,2607542,74682,5744
347,2662699,75137,6094
348,2721622,75547,6260
349,2782709,76428,6383
350,2845265,77470,6448
351,2898052,78632,6520
352,2966244,79965,6698
353,3026342,81000,6851
354,3081368,81567,7009
355,3127643,82096,7149
356,3173291,83342,7348
