US,Confirmed,Deaths,Recovered
289,9830068,237385,3810791
290,9958520,238402,3851465
291,10070661,238893,3881491
292,10192379,239586,3928845
293,10332181,240968,3961873
294,10479036,242395,3997175
295,10641937,243568,4051256
296,10821506,244737,4095146
297,10990682,246010,4148444
298,11127140,246656,4174884
299,11287221,247390,4244811
300,11449847,249074,4293640
301,11622349,250950,4350789
302,11812500,252922,4410709
303,12009777,254816,4457930
304,12191056,256269,4529700
305,12338025,257189,4526513
306,12507782,258110,4633600
307,12682409,260234,4696664
308,12866338,262518,4835956
309,12981186,263767,4871203
310,13186105,265195,4947446
311,13342764,266412,5023063
312,13483766,267269,5065030
313,13640049,268428,5146319
314,13825321,271003,5226581
315,14027077,273778,5322128
316,14247346,276622,5404018
317,14478014,279212,5470389
318,14694943,281465,5576026
319,14877231,282592,5624444
320,15067045,284018,5714557
321,15287430,286538,5786915
322,15509723,289605,5889896
323,15738265,292511,5985047
324,15973417,295789,6135314
325,16193366,298138,6246605
326,16385492,299530,6298082
327,16580119,301021,0
328,16778510,304007,0
329,17025845,307683,0
330,17263607,311018,0
331,17513811,313824,0
332,17709911,316365,0
333,17899409,317875,0
334,18092940,319572,0
335,18288508,322970,0
336,18516606,326298,0
337,18714356,329184,0
338,18814913,330401,0
339,19042166,332068,0
340,19199355,333282,0
341,19366014,335003,0
342,19564536,338722,0
343,19796528,342459,0
344,20026231,345866,0
345,20184236,347901,0
346,20486742,350297,0
347,20696637,351653,0
348,20873232,353509,0
349,21104369,357276,0
350,21354750,361130,0
351,21635491,365324,0
352,21928012,369263,0
353,22192842,372516,0
354,22409132,374337,0
355,22622305,376343,0
356,22838952,380805,0
